title,excerpt,content,collection,subcollection,folder,name,image_path
TATTOO,"60 x 140cm, Stempel- und Siebdruck, Acryl und Lack auf Leinwand, Fr. 1950.-","Die japanische Mafia, die Yakuza, verwendet seit hunderten von Jahren grossflächige Tätowierungen als Ausdruck der Gruppenzugehörigkeit.
 
Auch heute noch sind Tätowierungen in Japan direkt mit den Yakuza assoziiert, weshalb Tätowierten der Zutritt zu Thermalbädern (Onsen) oder öffentlichen Badehäuser (Sento) meist untersagt ist oder allgemein Tattoo`s öffentlich nicht gezeigt werden.",Stempeldruck,,,IMG_7544.PNG,
ONOMICHI TO IMABARI,"60 x 140cm, 2015, Stempeldruck, Acryl auf Leinwand, Fr. 1950.-","Die ca. 10-Stündige Shimanami Kaido-Fahrradtour führte von Onomichi bis nach Imabari, über sechs Inseln und Sieben Brücken. 
 
Diese Fahrradtour entschleunigt und bietet wunderbare Landschaften. ",Stempeldruck,,,IMG_7539.PNG,
JAPANREISE,"100 x 350cm, Stempeldruck, Acryl auf Leinwand, Fr. 8900.-","Die historischsten Sehenswürdigkeiten, Sportarten und Traditionen Japans auf einem Bild. Ebenfalls zu sehen: meine Reisepunkte durch das Land der aufgehenden Sonne.",Stempeldruck,,,IMG_7829.PNG,
JAPANREISE,,,,,,IMG_7830.PNG,
THE LOVESTORY FROM ASAKUSA,"100 x 100cm, 2015, Stempeldruck, Acryl und Lack auf Leinwand, Fr. 7600.-","Jeder einzelne Buchstabe ist von Hand gestempelt.
 
Das Bild umfasst über 3000 Zeichen und erzählt eine wahre Geschichte einer Schweizerin und eines Holländers, die sich in Asakusa, Japan trafen und sich verliebten.",Stempeldruck,,,IMG_7534.PNG,
TOKYO,"100 x 100cm, 2015, Stempeldruck, Acryl auf Leinwand, Fr. 1850.-","Die bunte, verrückte und lebendigste Stadt Japans, die niemals schläft! Ich war beeindruckt von der Vielfalt, die diese Stadt zu bieten hat.
Wer das exzentrische liebt und die skurrilen Trends sucht, wird hier fündig.
In der Kernstadt mit den 23 Bezirken Tokyo`s leben 
33 bis 37 Millionen Menschen.",Stempeldruck,,,IMG_7536.PNG,
KYOTO,"100 x 100cm, 2015, Stempeldruck, Acryl auf Leinwand, Fr. 1850.-","Bei meiner Reise durch Japan empfand ich das alt traditionelle Kyoto als besonders warmherzig und ruhig.
 
Sicherlich beeinflusst wurde ich bei der Farbwahl des Bildes vom beeindruckenden Fushimi Inari-Taisha Schrein, der aus tausenden, leuchtorangen Torii-Toren aus Holz gebaut wurde und den Berg Inari hoch schlängelt.",Stempeldruck,,,IMG_7537.PNG,
YAKUSHIMA,"100 x 100cm, 2015, Stempeldruck, Acryl auf Leinwand, Fr. 1850.-","Aufgrund seiner artenreichen Flora und den langlebigen Sicheltannen, wurde die kleine Insel Yakushima`s am südlichsten Punkt Japans, zum UNESCO Weltnaturerbe erklärt. 
Die älteste Tanne, die Jōmon Sugi, wird von 
2200 bis 7200 Jahre alt geschätzt. 
 
Nebst den grünen Wäldern für Wanderungen, bietet die Insel auch Wasserfälle, Strände und warme Quellen; die Onsen.",Stempeldruck,,,IMG_7538.PNG,
HIROSHIMA,"100 x 100cm, 2015, Stempeldruck, Mixed Media, Acryl auf Leinwand, Fr. 1850.-","Ich hatte den Eindruck, dass in dieser Stadt die Einheimischen noch ruhiger und bedachter leben, als die Menschen im Norden Japans.
 
Die Stadt wurde im 2. Weltkrieg 1945 von einer Atombombe weitgehend zerstört. 
 
Das Mädchen auf meinem Bild steht Symbolisch für das 12jährige Mädchen Sadako Sasaki, welches mit 2.5 Jahre die Atombombe überlebte, jedoch mit 10 Jahren an Leukämie erkrankt.
 
Eine alte japanische Legende besagt, dass demjenigen, der 1000 Origami-Kraniche faltet, ein Wunsch erfüllt wird. Während ihres Krankenhaus-Aufenthalts faltete Sadako in der Hoffnung auf Heilung rund 1600 Kraniche. 
 
Aufgrund der weltweiten Verbreitung und Anteilnahme, die die Geschichte von Sadako Sasako fand, wurden Origami-Kraniche zu einem Symbol der internationalen Friedensbewegung und des Wiederstandes gegen den Atomkrieg.",Stempeldruck,,,IMG_7541.PNG,
OSAKA,"100 x 100cm, 20016, Stempeldruck, Acryl auf Leinwand, Fr. 1850.-","Die Stadt Osaka bleibt mir als Wirtschaftsstadt mit dem vielen Beton als grau und emotionslos in Erinnerung, obschon sie viel mehr zu bieten hat, hab ich es einfach nicht gesehen.
 
Die Menschen sind hingegen, wie überall im Land, auch hier extrem hilfsbereit und geduldig. 
 
Die weiss-goldene Burg 
`Osaka Castle` blieb mir als beeindruckender Teil der Stadt in Erinnerung. Festgehalten in meinem Kunstwerk als weisses Viereck mit 24 Karat Blattgold.",Stempeldruck,,,IMG_7542.PNG,
